gene	cohort	gBMF_LFC	gBMF_padj	gBMF_sig	uBMF_LFC	uBMF_padj	uBMF_sig
HCG11	14sample_site_group	-0.7926182763206884	0.999662318642512	FALSE	-1.0747376811101552	0.9999303062257862	FALSE
HCP5	14sample_site_group	0.6080067541651337	0.999662318642512	FALSE	0.6765211821714581	0.9999303062257862	FALSE
SNHG32	14sample_site_group	-1.110813304566121	0.999662318642512	FALSE	-1.095158362471857	0.9999303062257862	FALSE
PSMB8-AS1	14sample_site_group	0.731783538554594	0.999662318642512	FALSE	0.3389108559332905	0.9999303062257862	FALSE
FAM30A	14sample_site_group	-0.4386647722325214	0.999662318642512	FALSE	-0.42857538636324305	0.9999303062257862	FALSE
MIR22HG	14sample_site_group	-2.6257862482401544	0.999662318642512	FALSE	-2.015609769099952	0.9999303062257862	FALSE
ATP1A1-AS1	14sample_site_group	-0.1608076388046955	0.999662318642512	FALSE	0.01596692943085473	0.9999303062257862	FALSE
USP3-AS1	14sample_site_group	0.6138963796550034	0.999662318642512	FALSE	0.5563185154978513	0.9999303062257862	FALSE
TAGAP-AS1	14sample_site_group	0.700393966095277	0.999662318642512	FALSE	0.21287335680510336	0.9999303062257862	FALSE
LINC01036	14sample_site_group	1.1315404193486855	0.999662318642512	FALSE	0.9673783627038389	0.9999303062257862	FALSE
MALAT1	14sample_site_group	0.34204408082470505	0.999662318642512	FALSE	0.29037972801505246	0.9999303062257862	FALSE
HCG11	17sample_site_group	-0.7881935098224493	0.9997449537989958	FALSE	-1.0729383097306018	0.9997323958239671	FALSE
HCP5	17sample_site_group	0.6520084584495909	0.9997449537989958	FALSE	0.7146118363993723	0.9997323958239671	FALSE
SNHG32	17sample_site_group	-1.1091012374658087	0.9997449537989958	FALSE	-1.0979954780285144	0.9997323958239671	FALSE
PSMB8-AS1	17sample_site_group	0.7358226952794512	0.9997449537989958	FALSE	0.3403686199666844	0.9997323958239671	FALSE
FAM30A	17sample_site_group	-0.41292261524952284	0.9997449537989958	FALSE	-0.41536973228442753	0.9997323958239671	FALSE
MIR22HG	17sample_site_group	-2.620737131319774	0.9997449537989958	FALSE	-2.0135417605642494	0.9997323958239671	FALSE
ATP1A1-AS1	17sample_site_group	-0.1546721694227931	0.9997449537989958	FALSE	0.016346564195852932	0.9997323958239671	FALSE
USP3-AS1	17sample_site_group	0.6229675938726663	0.9997449537989958	FALSE	0.5591401507050192	0.9997323958239671	FALSE
TAGAP-AS1	17sample_site_group	0.7016865010549184	0.9997449537989958	FALSE	0.2120126144361547	0.9997323958239671	FALSE
LINC01036	17sample_site_group	1.1317562766966816	0.9997449537989958	FALSE	0.9683053831649547	0.9997323958239671	FALSE
MALAT1	17sample_site_group	0.3474233945465952	0.9997449537989958	FALSE	0.289850009599796	0.9997323958239671	FALSE
HCG11	14sample_group_only	9.484366179102429	1.074934760971717e-4	TRUE	8.788961259001358	1.765284125682142e-4	TRUE
HCP5	14sample_group_only	9.070384731219434	7.088981118155231e-7	TRUE	8.725604228025448	2.3601323190137218e-7	TRUE
SNHG32	14sample_group_only	9.653528933743788	8.91460341625243e-5	TRUE	9.254541895704262	7.320663704242776e-5	TRUE
PSMB8-AS1	14sample_group_only	11.425124918385432	9.758311490483128e-6	TRUE	10.618198350037547	1.4440780014266282e-5	TRUE
FAM30A	14sample_group_only	5.463914227000449	0.001173790456339261	TRUE	5.066940638132814	0.0010380454572458107	TRUE
MIR22HG	14sample_group_only	9.912570134844255	4.152603707757804e-4	TRUE	10.107598810218098	9.281748553306279e-5	TRUE
ATP1A1-AS1	14sample_group_only	2.3353463887864803	0.024726432101572417	TRUE	2.180651640313413	0.02464037648744905	TRUE
USP3-AS1	14sample_group_only	2.596801030142172	0.0018169655693935315	TRUE	2.241410197822423	0.00387612902442929	TRUE
TAGAP-AS1	14sample_group_only	4.362839076876741	2.6425317636320593e-4	TRUE	3.4982474905624295	0.0017677940523611736	TRUE
LINC01036	14sample_group_only	3.2497187872984576	0.0011171635552616522	TRUE	2.7774282907144405	0.0027670464468452704	TRUE
MALAT1	14sample_group_only	-6.562007519048987	1.2353801525123291e-5	TRUE	-4.106903981901375	0.004427397299628487	TRUE
