EnsemblID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GeneSymbol	GeneName	GeneType
ENSG00000140694.18	2335.7733868945115	9.638230019579863	1.2140365831978768	7.938994716445806	2.0382645582281317e-15	3.3863379908437536e-11	PARN	PARN	protein_coding
ENSG00000130755.13	1757.764365065926	7.477202511947592	0.9472430885721699	7.893646944649001	2.9348164760096663e-15	3.3863379908437536e-11	GMFG	GMFG	protein_coding
ENSG00000161021.13	540.2146079655721	7.712328291442737	1.0005418384347105	7.70815171858103	1.2765293939686345e-14	5.891693764922835e-11	MAML1	MAML1	protein_coding
ENSG00000204592.9	16625.279429688144	10.471251935520979	1.3581546671149956	7.709911241378794	1.2590527223472832e-14	5.891693764922835e-11	HLA-E	HLA-E	protein_coding
ENSG00000184009.13	10189.405316734583	8.25545451870212	1.070254836704577	7.713540958265137	1.2237405764980115e-14	5.891693764922835e-11	ACTG1	ACTG1	protein_coding
ENSG00000170889.14	5854.367390668637	12.083460206114376	1.6374296764173901	7.379529258656378	1.5885017079797113e-13	6.109642319174632e-10	RPS9	RPS9	protein_coding
ENSG00000114942.14	7594.634957570859	8.1705967162392	1.1375178030634643	7.182829749332148	6.828311186614642e-13	2.2510991036215158e-9	EEF1B2	EEF1B2	protein_coding
ENSG00000174231.18	4902.506457075097	12.737448222906243	1.7883045314930994	7.122639348384045	1.0587961529382086e-12	3.05422985266938e-9	PRPF8	PRPF8	protein_coding
ENSG00000034053.15	749.6732316118333	6.668645627732283	0.9461688093406305	7.048050582410926	1.8144168848295089e-12	4.652366494578953e-9	APBA2	APBA2	protein_coding
ENSG00000178982.10	2537.623558598571	12.493037330707834	1.7853148889414914	6.997666018522326	2.602615817583793e-12	6.006056522238119e-9	EIF3K	EIF3K	protein_coding
ENSG00000145425.10	19538.432748596162	9.136154512442362	1.3156561422180586	6.944181096619791	3.8066193214542655e-12	7.9859412801091e-9	RPS3A	RPS3A	protein_coding
ENSG00000270647.7	1025.3538394597151	9.602759846135516	1.4075646114104245	6.822251545890491	8.962455049462117e-12	1.7235547931369772e-8	TAF15	TAF15	protein_coding
