EnsemblID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GeneSymbol	GeneName	GeneType
ENSG00000230470.1	26.474577178539665	-5.128484878793738	1.1507735323683468	-4.456554425820927	8.328746305950167e-6	0.07574161890631081	ENSG00000230470	ENSG00000230470	lncRNA
ENSG00000168497.5	1073.7882866686834	3.0035312289656426	0.6562245696859581	4.576986854367566	4.717210900926046e-6	0.07574161890631081	CAVIN2	CAVIN2	protein_coding
ENSG00000164181.14	177.01116604565934	2.4719211821040923	0.552753750855365	4.472011593370266	7.748722547581504e-6	0.07574161890631081	ELOVL7	ELOVL7	protein_coding
ENSG00000225936.2	23.001460452147843	4.29711092473548	0.9996030487344332	4.298817345721305	1.7171190706328576e-5	0.12492384662668166	SLC18A2-AS1	SLC18A2-AS1	lncRNA
ENSG00000163736.4	1345.2482555992422	2.6360125134563663	0.6244441398170095	4.2213744118550585	2.4281722758583316e-5	0.13773062056469898	PPBP	PPBP	protein_coding
ENSG00000241945.8	43.69628491449314	-4.111365273936653	0.9785249567930753	-4.201594701693507	2.6504133053466376e-5	0.13773062056469898	PWP2	PWP2	protein_coding
ENSG00000233225.3	80.8844480236822	4.573873206172102	1.1362974117820708	4.025243003060998	5.691650991842516e-5	0.1603762485175861	SSBP3P1	SSBP3P1	processed_pseudogene
ENSG00000264920.4	50.953236624909216	1.583981373652635	0.3919982659114888	4.040786685546945	5.327219822717244e-5	0.1603762485175861	SP2-DT	SP2-DT	lncRNA
ENSG00000156265.17	472.653779523921	2.065129617705924	0.5132540949278072	4.023600859914033	5.731502173764624e-5	0.1603762485175861	MAP3K7CL	MAP3K7CL	protein_coding
ENSG00000177324.14	87.94491469883953	3.4961468173509926	0.8590563912911185	4.069752408333125	4.706312652278366e-5	0.1603762485175861	BEND2	BEND2	protein_coding
ENSG00000196778.4	21.101532779084486	3.144746680328657	0.786696379946945	3.997408352814258	6.403977235158579e-5	0.16639362564723462	OR52K1	OR52K1	protein_coding
ENSG00000288801.1	27.111908393972524	-3.846352831573758	0.9737088133905367	-3.950208500404172	7.808314316769697e-5	0.17752202599175906	ENSG00000288801	ENSG00000288801	lncRNA
ENSG00000272477.1	106.90642711030262	2.0866605388539075	0.5569774807032969	3.746400188781557	1.7939033236346848e-4	0.3062455095575806	ENSG00000272477	ENSG00000272477	lncRNA
ENSG00000201428.1	85.53372273790582	-2.0451698372828533	0.5470749553588485	-3.73837226005227	1.8521555999193902e-4	0.3062455095575806	RN7SKP71	RN7SKP71	misc_RNA
ENSG00000103184.12	26.670441465127293	3.1146043912756114	0.8308989880565574	3.7484753695037685	1.7791280563956012e-4	0.3062455095575806	SEC14L5	SEC14L5	protein_coding
ENSG00000288933.2	13.484683316560188	3.4787038143444136	0.9408963338257381	3.6972232639060305	2.179706290460749e-4	0.3247709620639332	ENSG00000288933	ENSG00000288933	lncRNA
ENSG00000247934.4	107.18604675034211	2.1554585366265866	0.5839462138415563	3.691193616012438	2.23204147008971e-4	0.3247709620639332	ENSG00000247934	ENSG00000247934	lncRNA
ENSG00000154760.14	1319.5432144432784	-0.834445404534489	0.22565117585411168	-3.6979439676129844	2.1735285052796457e-4	0.3247709620639332	SLFN13	SLFN13	protein_coding
