gene	gBMF_sig_14sample_site_group	gBMF_sig_17sample_site_group	gBMF_sig_14sample_group_only	uBMF_sig_14sample_site_group	uBMF_sig_17sample_site_group	uBMF_sig_14sample_group_only
HCG11	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
HCP5	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
SNHG32	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
PSMB8-AS1	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
FAM30A	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
MIR22HG	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ATP1A1-AS1	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
USP3-AS1	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
TAGAP-AS1	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
LINC01036	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
MALAT1	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
