EnsemblID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GeneSymbol	GeneName	GeneType
ENSG00000140694.18	2335.7733868945115	10.533052460585584	1.3019541862066857	8.090186714844556	5.957333812014323e-16	1.15662103560572e-11	PARN	PARN	protein_coding
ENSG00000130755.13	1757.764365065926	7.261135502290461	0.9043809928375642	8.02884576278864	9.839396304599915e-16	1.15662103560572e-11	GMFG	GMFG	protein_coding
ENSG00000161021.13	540.2146079655721	7.9562188631045565	1.0742088338107934	7.406584839634573	1.2959334919082642e-13	9.878669295698814e-10	MAML1	MAML1	protein_coding
ENSG00000289740.1	145.72985399147356	-29.996821423264517	4.069016007492335	-7.372008703831825	1.6807604076050726e-13	9.878669295698814e-10	TALAM1	TALAM1	lncRNA
ENSG00000184009.13	10189.405316734583	7.941096358565149	1.1110965540359237	7.1470803592361785	8.864299126868904e-13	4.167993449453758e-9	ACTG1	ACTG1	protein_coding
ENSG00000204592.9	16625.279429688144	10.672421656571899	1.5084102657041252	7.075277793598161	1.4914967573649205e-12	5.009298395092755e-9	HLA-E	HLA-E	protein_coding
ENSG00000034053.15	749.6732316118333	7.3825763188488525	1.0409451586333733	7.092185652259743	1.3201025094025814e-12	5.009298395092755e-9	APBA2	APBA2	protein_coding
ENSG00000178982.10	2537.623558598571	12.703452385126429	1.8487012123958415	6.871555176113761	6.350571886418388e-12	1.8662743131212038e-8	EIF3K	EIF3K	protein_coding
ENSG00000114942.14	7594.634957570859	7.858242162720429	1.1532756071509085	6.813845809271644	9.502355185283955e-12	2.482226337844731e-8	EEF1B2	EEF1B2	protein_coding
ENSG00000131626.19	770.9115208298905	7.176311450900024	1.059539818141191	6.773045550557809	1.2609922754032726e-11	2.964592839473094e-8	PPFIA1	PPFIA1	protein_coding
ENSG00000159840.16	494.7895989163858	4.897212312444328	0.741172372656469	6.607386477307581	3.911639227747057e-11	8.360239840393938e-8	ZYX	ZYX	protein_coding
ENSG00000270647.7	1025.3538394597151	9.795943276851363	1.4966964693802978	6.545043351981274	5.947812947841801e-11	1.1652756866980062e-7	TAF15	TAF15	protein_coding
ENSG00000157191.20	982.9890575478339	7.557282803198656	1.1644458558890411	6.4900250749990915	8.582208910980739e-11	1.48285774346688e-7	NECAP2	NECAP2	protein_coding
ENSG00000115085.15	2260.156712036582	12.577972173334707	1.9393300684112729	6.485730499521808	8.830288561691332e-11	1.48285774346688e-7	ZAP70	ZAP70	protein_coding
ENSG00000154822.18	10229.562864046226	13.02234017833367	2.041108469454794	6.380033385394801	1.770493824467367e-10	2.601519363326737e-7	PLCL2	PLCL2	protein_coding
ENSG00000145425.10	19538.432748596162	8.944282674094788	1.4010875742611704	6.38381414438804	1.727307125645756e-10	2.601519363326737e-7	RPS3A	RPS3A	protein_coding
ENSG00000275527.1	407.8723379051736	-30	4.7467642079416805	-6.320094844780329	2.614028150895473e-10	3.6150471663266215e-7	ENSG00000275527	ENSG00000275527	lncRNA
ENSG00000118412.13	2253.8889777353334	8.303051412373838	1.321338619678716	6.283818007523861	3.30357417866864e-10	4.314834941138874e-7	CASP8AP2	CASP8AP2	protein_coding
ENSG00000275023.5	1587.5584056033397	10.574907812032475	1.6871730429886584	6.267826442568145	3.6612251783846185e-10	4.4487332783203775e-7	MLLT6	MLLT6	protein_coding
ENSG00000204577.12	593.9704760781316	9.10329525916995	1.4535818441868873	6.26266439387333	3.7845455366400487e-10	4.4487332783203775e-7	LILRB3	LILRB3	protein_coding
ENSG00000287920.1	300.41427272546065	7.772140647082559	1.2548542829791054	6.193659895419087	5.878299697648155e-10	6.274140173124457e-7	ENSG00000287920	ENSG00000287920	lncRNA
ENSG00000137310.13	398.9518707665644	6.375229678336279	1.0297830004327249	6.190847659805362	5.984152367377332e-10	6.274140173124457e-7	TCF19	TCF19	protein_coding
ENSG00000204463.14	3268.1255269485414	12.064433883085067	1.9500139991140666	6.186844755251091	6.138035898845705e-10	6.274140173124457e-7	BAG6	BAG6	protein_coding
ENSG00000104518.11	952.2651195603861	7.950754192760882	1.292008811908201	6.15379254342562	7.565163156951764e-10	7.281763748656297e-7	GSDMD	GSDMD	protein_coding
ENSG00000171862.15	7443.633083657903	8.77619067031561	1.4269989630312467	6.150103046797687	7.743262174241065e-10	7.281763748656297e-7	PTEN	PTEN	protein_coding
ENSG00000125944.21	2352.953543285494	8.662606114663001	1.4114151511252486	6.13753232545134	8.38131688964121e-10	7.578644618287109e-7	HNRNPR	HNRNPR	protein_coding
ENSG00000072864.16	1145.2642253296676	8.58726126806971	1.409129664566796	6.09401780687774	1.1011140379747535e-9	9.58784853066165e-7	NDE1	NDE1	protein_coding
ENSG00000196912.13	1131.7924019914676	8.904711137354715	1.4691826259063456	6.060996761285111	1.352805568254004e-9	1.1358735324875584e-6	ANKRD36B	ANKRD36B	protein_coding
ENSG00000257093.7	1573.8011064057007	9.243400131957335	1.528377508488777	6.047851450717165	1.4679020384290633e-9	1.1900129973609407e-6	DENND11	DENND11	protein_coding
ENSG00000112584.14	928.6868751559434	8.669534123966564	1.4353825450155533	6.0398770725420965	1.542316826449411e-9	1.2086622863275218e-6	FAM120B	FAM120B	protein_coding
ENSG00000140988.16	15828.39954004935	8.221836648431172	1.3690583830871537	6.005468247374059	1.907805004269071e-9	1.4468546983988988e-6	RPS2	RPS2	protein_coding
ENSG00000182208.15	648.1767141052161	8.66543899976018	1.447434479510226	5.98675734371917	2.1406577849084413e-9	1.5727145163499205e-6	MOB2	MOB2	protein_coding
ENSG00000156650.14	1359.3513790208867	9.449201602864177	1.5814340675996212	5.975084131839048	2.299714699799966e-9	1.6324414751619496e-6	KAT6B	KAT6B	protein_coding
ENSG00000170889.14	5854.367390668637	11.779070524951518	1.9727768921715838	5.970807226956825	2.360825612739527e-9	1.6324414751619496e-6	RPS9	RPS9	protein_coding
ENSG00000007968.7	7846.132174734528	8.745582479302927	1.4712611551806265	5.944276071252104	2.776812756874325e-9	1.8564899462588273e-6	E2F2	E2F2	protein_coding
ENSG00000013275.8	886.0973536751964	8.878050371941717	1.4945133856391701	5.940428809304222	2.8427749070743423e-9	1.8564899462588273e-6	PSMC4	PSMC4	protein_coding
ENSG00000128708.13	1374.6642206200813	7.50670303008581	1.2770030269749466	5.8783752830000795	4.143127829008974e-9	2.213748528636386e-6	HAT1	HAT1	protein_coding
ENSG00000204304.12	921.7294999451599	8.449490978198385	1.4308704996741775	5.905140248626562	3.5234687121617413e-9	2.213748528636386e-6	PBX2	PBX2	protein_coding
ENSG00000186166.9	631.8394981957656	11.942962446072203	2.031421886631922	5.879114783917938	4.124662886973653e-9	2.213748528636386e-6	CENATAC	CENATAC	protein_coding
ENSG00000092010.15	3134.893597233217	8.363812567209662	1.4193907955980687	5.892536849716233	3.803112490613647e-9	2.213748528636386e-6	PSME1	PSME1	protein_coding
ENSG00000237550.7	2475.151718325094	9.000397799950878	1.5293528415142934	5.8851022181638	3.978080528644153e-9	2.213748528636386e-6	ENSG00000237550	ENSG00000237550	transcribed_processed_pseudogene
ENSG00000103429.11	395.7414513645163	7.471645441146659	1.2677488151390601	5.893632359914365	3.7779721618525e-9	2.213748528636386e-6	BFAR	BFAR	protein_coding
ENSG00000239998.7	338.5468934736759	7.515358088391195	1.2779435871846319	5.880821472681648	4.08235298863645e-9	2.213748528636386e-6	LILRA2	LILRA2	protein_coding
