EnsemblID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GeneSymbol	GeneName	GeneType
ENSG00000204287.14	4744.968660532065	26.86254598558122	2.999512852361542	8.955636234207867	3.3778199435645347e-19	8.536088779381935e-15	HLA-DRA	HLA-DRA	protein_coding
ENSG00000237214.3	237.79399541578874	-30	3.3793998982424878	-8.877315767098766	6.849315315405613e-19	8.654452366780762e-15	ENSG00000237214	ENSG00000237214	processed_pseudogene
ENSG00000140694.18	2079.566073993389	10.821221087469683	1.2615742485223393	8.577553877739971	9.691198986809773e-18	8.163542986522325e-14	PARN	PARN	protein_coding
ENSG00000184009.13	8966.065215389433	8.500777288378213	1.076174474067041	7.899069800691679	2.80992501307037e-15	1.775240375132533e-11	ACTG1	ACTG1	protein_coding
ENSG00000130755.13	1579.6875895908163	7.827405020324393	1.0053943790771211	7.785407580564932	6.948882433000847e-15	3.512104159287288e-11	GMFG	GMFG	protein_coding
ENSG00000034053.15	665.5862699418967	7.528239612871064	0.9850145457694155	7.642769992792948	2.125975765792836e-14	8.954255596225126e-11	APBA2	APBA2	protein_coding
ENSG00000161021.13	480.0217402428131	8.116224292805489	1.0717220213930323	7.573068511045392	3.6450994170023314e-14	1.315932962386656e-10	MAML1	MAML1	protein_coding
ENSG00000232024.2	89.77961789840015	-28.544306818303944	3.8334897768848597	-7.446037026215678	9.61858211909026e-14	3.038389859144125e-10	LSM12P1	LSM12P1	processed_pseudogene
ENSG00000114942.14	6710.906792021336	8.506355180040075	1.1501695704749983	7.395740070333377	1.4062284703109948e-13	3.948533297025461e-10	EEF1B2	EEF1B2	protein_coding
ENSG00000145425.10	17166.8365896818	9.542775169165907	1.3206396759206054	7.225873448420916	4.978912399217808e-13	1.2582209524063322e-9	RPS3A	RPS3A	protein_coding
ENSG00000157191.20	886.9875531970405	8.006842008928093	1.115315846698845	7.178990626401529	7.022796039575769e-13	1.478942322634327e-9	NECAP2	NECAP2	protein_coding
ENSG00000163915.7	22.776307765154318	18.706485879621454	2.6105146791012133	7.165822904340841	7.732067541371348e-13	1.503054452599964e-9	IGF2BP2-AS1	IGF2BP2-AS1	lncRNA
ENSG00000178982.10	2229.5648259943027	13.051812016787304	1.8376774152224915	7.10234119909837	1.226609385568117e-12	2.2141175559065632e-9	EIF3K	EIF3K	protein_coding
ENSG00000226272.5	50.789898333490086	20.80814684183137	2.9389081204186134	7.080230476503461	1.4391490798222847e-12	2.4245824264125973e-9	ARHGAP26-AS1	ARHGAP26-AS1	lncRNA
ENSG00000171862.15	6552.646773125674	9.213875003269118	1.337094888648534	6.890965690985494	5.541490389283866e-12	7.779944645977365e-9	PTEN	PTEN	protein_coding
ENSG00000118412.13	1984.3948489828888	8.634391846652456	1.2554271158690566	6.877652822302939	6.084673512602911e-12	8.092936017736218e-9	CASP8AP2	CASP8AP2	protein_coding
ENSG00000270647.7	900.0686873129935	10.114165503171632	1.4799319574488734	6.834209810974396	8.245826837493676e-12	1.0419014500515134e-8	TAF15	TAF15	protein_coding
ENSG00000204592.9	14595.57441492467	10.955308853996316	1.6106183759864752	6.801927146327499	1.032288027929765e-11	1.2422357501815758e-8	HLA-E	HLA-E	protein_coding
ENSG00000292358.1	29.901596749595342	-24.596358997091013	3.6480987606549986	-6.742240441066035	1.5596270016538538e-11	1.7915151799452063e-8	GTPBP6	GTPBP6	protein_coding
ENSG00000131626.19	693.3568370893805	7.411029809110837	1.1044553155063699	6.710121908112718	1.9446188318841647e-11	2.1366288043715096e-8	PPFIA1	PPFIA1	protein_coding
ENSG00000125944.21	2065.198846963245	9.310699898792787	1.3916729102720118	6.69029326508407	2.2272379942501763e-11	2.345188806362342e-8	HNRNPR	HNRNPR	protein_coding
ENSG00000275023.5	1391.5245378698496	10.595695099903104	1.5861560262437902	6.680108970739149	2.387646424840884e-11	2.413528512086159e-8	MLLT6	MLLT6	protein_coding
ENSG00000183688.4	1506.2327369932746	8.333519175058468	1.2555170364602042	6.6375197891013356	3.190051449322864e-11	3.1006073144553114e-8	RFLNB	RFLNB	protein_coding
ENSG00000287920.1	305.37493585272057	8.083685288886844	1.2227626886947385	6.611000943703909	3.8173005380348966e-11	3.445250067738567e-8	ENSG00000287920	ENSG00000287920	lncRNA
ENSG00000276070.5	59.59893671780164	21.418636199038673	3.238660059694947	6.613425245086117	3.75527677897335e-11	3.445250067738567e-8	CCL4L2	CCL4L2	protein_coding
ENSG00000257093.7	1385.2424514546817	9.554642707140601	1.4482551880300787	6.597347474471579	4.185789518273907e-11	3.647554721251721e-8	DENND11	DENND11	protein_coding
ENSG00000092010.15	3364.668801380061	8.752210610650886	1.3333329616335983	6.564159787910505	5.232706691683112e-11	4.4078576935174644e-8	PSME1	PSME1	protein_coding
ENSG00000196912.13	993.2266786138323	9.342708261117354	1.4355214402737642	6.50823317507235	7.603982519688258e-11	6.198717492098129e-8	ANKRD36B	ANKRD36B	protein_coding
ENSG00000204304.12	810.6712129398047	8.795241213236435	1.3556374039519692	6.487900959059148	8.704046335173572e-11	6.873748591755355e-8	PBX2	PBX2	protein_coding
ENSG00000112584.14	818.3192954852691	8.924784622522926	1.381999398350153	6.457878804562027	1.06180719647055e-10	8.13119080666887e-8	FAM120B	FAM120B	protein_coding
ENSG00000154822.18	8999.258305994868	13.148659561625104	2.0437193135783893	6.433691492890406	1.245415159818473e-10	8.641238161891321e-8	PLCL2	PLCL2	protein_coding
ENSG00000140988.16	13909.632675449911	8.58358910992386	1.3340123032847602	6.4344152514848245	1.2394957207905777e-10	8.641238161891321e-8	RPS2	RPS2	protein_coding
ENSG00000170889.14	5147.632626298938	12.2924873621901	1.9096198705181322	6.437138381291985	1.2174693075762092e-10	8.641238161891321e-8	RPS9	RPS9	protein_coding
ENSG00000239998.7	298.3460973062308	8.135601729590588	1.2650015227314488	6.431297973478978	1.2651886034979972e-10	8.641238161891321e-8	LILRA2	LILRA2	protein_coding
ENSG00000182208.15	571.1476997645027	8.69600029753987	1.362112789604851	6.384199872363419	1.7229593507443695e-10	1.1116642659664187e-7	MOB2	MOB2	protein_coding
ENSG00000176994.11	973.3758492242666	7.942062883252637	1.2446463602335796	6.3809794789920655	1.7595888820646887e-10	1.1116642659664187e-7	SMCR8	SMCR8	protein_coding
ENSG00000054282.16	659.0729039239895	7.188388002892932	1.1291672021112305	6.3660970575948665	1.9389876205666613e-10	1.195125759983905e-7	SDCCAG8	SDCCAG8	protein_coding
ENSG00000136319.12	289.1254663305953	6.470454199968915	1.0195544356797706	6.346354812977544	2.2047641990002594e-10	1.32658562078418e-7	TTC5	TTC5	protein_coding
ENSG00000072864.16	1006.8439530778594	8.816755439486816	1.3944280566451586	6.322847132536164	2.5678730897933094e-10	1.5091330430736445e-7	NDE1	NDE1	protein_coding
ENSG00000114933.16	1720.4636334921033	6.405805639287763	1.020253971590898	6.27863827797611	3.4155118172461616e-10	1.9616681621279035e-7	INO80D	INO80D	protein_coding
ENSG00000204577.12	523.0329984452648	9.393378895111073	1.497254349835649	6.273736253390861	3.5248540833666967e-10	1.9794797231279955e-7	LILRB3	LILRB3	protein_coding
ENSG00000128708.13	1212.0811183107758	8.185369137870492	1.306838297085103	6.2634904074420845	3.7645432355351103e-10	2.068125480547995e-7	HAT1	HAT1	protein_coding
ENSG00000103429.11	349.5527973953734	7.8502254647166785	1.2567311570753146	6.246543201002394	4.196359926314151e-10	2.2563023765507427e-7	BFAR	BFAR	protein_coding
ENSG00000198563.14	651.0472749152586	8.202689271144802	1.3140173220049773	6.242451399825406	4.307656455503081e-10	2.267891380979549e-7	DDX39B	DDX39B	protein_coding
ENSG00000176783.15	1006.5875809314389	6.54783211964396	1.057629129657737	6.191047443788663	5.976571517873025e-10	2.9253885431679193e-7	RUFY1	RUFY1	protein_coding
ENSG00000204463.14	2880.267950231421	11.864357408929894	1.9158811326908343	6.192637531884107	5.916568417458362e-10	2.9253885431679193e-7	BAG6	BAG6	protein_coding
ENSG00000006831.10	1254.9105938090881	7.502227973062885	1.2112683523607	6.193696019912868	5.876951926654476e-10	2.9253885431679193e-7	ADIPOR2	ADIPOR2	protein_coding
ENSG00000165929.13	2392.4583451559593	5.419999583639346	0.875617363099543	6.189917893420284	6.019556180789514e-10	2.9253885431679193e-7	TC2N	TC2N	protein_coding
ENSG00000143702.16	1159.0425051366224	7.424162556829792	1.2019860982040915	6.176579386335968	6.550527932024548e-10	3.12336587490929e-7	CEP170	CEP170	protein_coding
ENSG00000186166.9	554.282624970551	12.234058145223036	1.9838779008010947	6.16673946530827	6.971247648046249e-10	3.262414802106977e-7	CENATAC	CENATAC	protein_coding
ENSG00000231925.14	929.2511825187169	8.342136306764889	1.357655044844689	6.144518328453014	8.020652890893523e-10	3.6333400655195503e-7	TAPBP	TAPBP	protein_coding
ENSG00000196712.20	1436.9302230544895	5.590126863393094	0.9102809851985922	6.141100335270124	8.195179602493544e-10	3.6333400655195503e-7	NF1	NF1	protein_coding
ENSG00000120071.15	2871.2248277568597	6.388865918891424	1.0399246860593427	6.143585208176169	8.067936025625292e-10	3.6333400655195503e-7	KANSL1	KANSL1	protein_coding
ENSG00000185989.11	2134.8894979545066	6.3865553078441275	1.0413911813707655	6.13271498942176	8.63918414643998e-10	3.7147099498735643e-7	RASA3	RASA3	protein_coding
ENSG00000013275.8	811.1192461294119	9.333957528999889	1.5221472019228426	6.132099127606599	8.672703377093913e-10	3.7147099498735643e-7	PSMC4	PSMC4	protein_coding
ENSG00000110768.12	800.2766468416634	6.826995580808383	1.1166672112018285	6.113724404481022	9.733233931675857e-10	4.0994759114563433e-7	GTF2H1	GTF2H1	protein_coding
ENSG00000269982.1	360.0641903968133	5.871584066429143	0.9613897179535758	6.107392201913142	1.0127216644445487e-9	4.1954900298652773e-7	ENSG00000269982	ENSG00000269982	lncRNA
ENSG00000139146.14	708.337188550112	6.897873330421969	1.130558407548441	6.101297628116057	1.052107884860467e-9	4.288357799727236e-7	SINHCAF	SINHCAF	protein_coding
ENSG00000126261.13	2236.6887148835995	8.339160837502705	1.3681708279519085	6.0951166821661165	1.093576553174944e-9	4.386630646870478e-7	UBA2	UBA2	protein_coding
ENSG00000287555.1	329.6270371326316	11.74178816068866	1.9282788549598833	6.089258371778879	1.1343492608384438e-9	4.4101754108689715e-7	ENSG00000287555	ENSG00000287555	lncRNA
ENSG00000275395.7	201.59499424874724	7.677478292513289	1.2607763675420536	6.089484614532327	1.1327474972827552e-9	4.4101754108689715e-7	FCGBP	FCGBP	protein_coding
ENSG00000231500.7	14094.161468579758	15.30936083687908	2.5234675510416302	6.066795204305172	1.3048777167145212e-9	4.996297693801918e-7	RPS18	RPS18	protein_coding
ENSG00000275835.5	544.5065433407876	8.859103842410368	1.462629423874484	6.056970889415537	1.3870867855574305e-9	5.23180151609281e-7	TUBGCP5	TUBGCP5	protein_coding
ENSG00000278311.5	1685.648692666109	7.090754002032024	1.1720198825489574	6.050028764538327	1.4481997414602332e-9	5.381978774476698e-7	GGNBP2	GGNBP2	protein_coding
ENSG00000174231.18	4299.983750079182	12.876478213272556	2.1305068325171725	6.0438568028712325	1.5047307404629246e-9	5.511021817715734e-7	PRPF8	PRPF8	protein_coding
ENSG00000115840.14	332.54759335825975	11.696160567371376	1.936532964847078	6.039742560382898	1.5436030655321568e-9	5.572627581294734e-7	SLC25A12	SLC25A12	protein_coding
ENSG00000279159.1	1971.4478777871495	6.954353606759482	1.1556293093517702	6.0178065323216865	1.7679631267098294e-9	6.292703686631563e-7	ENSG00000279159	ENSG00000279159	lncRNA
ENSG00000115085.15	1980.4167830545305	12.470889638571018	2.0766105057178494	6.005406215673575	1.908534593640905e-9	6.69869134943046e-7	ZAP70	ZAP70	protein_coding
ENSG00000205531.14	8388.47642549387	6.784989841687886	1.1330839448171035	5.988073410380096	2.1234122539257253e-9	7.350787817665344e-7	NAP1L4	NAP1L4	protein_coding
ENSG00000089737.19	2530.797118118292	7.882159832778955	1.317101714796043	5.9844731384314755	2.170914111835858e-9	7.413671691919455e-7	DDX24	DDX24	protein_coding
ENSG00000272211.1	532.6149229316406	11.826381899692384	1.9813191579660199	5.968943394174362	2.3879493400024296e-9	7.940245759368604e-7	ENSG00000272211	ENSG00000272211	lncRNA
ENSG00000092330.19	884.9888572414117	6.816245890929624	1.1435688663690344	5.960503203075129	2.5146237447017284e-9	8.252864500306153e-7	TINF2	TINF2	protein_coding
