EnsemblID	pass_group_aware_filter
ENSG00000227232.5	TRUE
ENSG00000278267.1	FALSE
ENSG00000237613.2	FALSE
ENSG00000238009.6	FALSE
ENSG00000233750.3	TRUE
ENSG00000268903.1	TRUE
ENSG00000269981.1	TRUE
ENSG00000239906.1	FALSE
ENSG00000241860.7	TRUE
ENSG00000222623.1	FALSE
ENSG00000279928.2	FALSE
ENSG00000279457.4	TRUE
ENSG00000228463.10	FALSE
ENSG00000286448.1	FALSE
ENSG00000236679.2	FALSE
ENSG00000290385.1	TRUE
ENSG00000278757.1	FALSE
ENSG00000230021.10	TRUE
ENSG00000225972.1	FALSE
ENSG00000225630.1	TRUE
ENSG00000237973.1	TRUE
ENSG00000229344.1	FALSE
ENSG00000240409.1	FALSE
ENSG00000248527.1	TRUE
ENSG00000198744.5	FALSE
ENSG00000229376.3	FALSE
ENSG00000291215.1	TRUE
ENSG00000223181.1	FALSE
ENSG00000229905.1	FALSE
ENSG00000237491.10	TRUE
ENSG00000290784.1	FALSE
ENSG00000177757.2	TRUE
ENSG00000225880.6	TRUE
ENSG00000228794.12	TRUE
ENSG00000288531.1	FALSE
ENSG00000230368.2	FALSE
ENSG00000234711.1	FALSE
ENSG00000283040.1	FALSE
ENSG00000230699.2	FALSE
ENSG00000223764.2	FALSE
ENSG00000187634.13	FALSE
ENSG00000188976.11	TRUE
ENSG00000187961.15	TRUE
ENSG00000187583.11	FALSE
ENSG00000187642.10	FALSE
ENSG00000272512.1	FALSE
ENSG00000188290.11	FALSE
ENSG00000187608.10	TRUE
ENSG00000224969.1	FALSE
ENSG00000188157.15	TRUE
ENSG00000291156.1	TRUE
ENSG00000273443.1	FALSE
ENSG00000217801.13	FALSE
ENSG00000237330.3	FALSE
ENSG00000131591.18	TRUE
ENSG00000285812.1	FALSE
ENSG00000223823.1	FALSE
ENSG00000272141.1	FALSE
ENSG00000205231.1	FALSE
ENSG00000162571.14	FALSE
ENSG00000186891.14	TRUE
ENSG00000186827.12	TRUE
ENSG00000078808.20	TRUE
ENSG00000176022.7	TRUE
ENSG00000184163.3	FALSE
ENSG00000260179.1	FALSE
ENSG00000160087.21	TRUE
ENSG00000230415.1	FALSE
ENSG00000162572.21	TRUE
ENSG00000131584.19	TRUE
ENSG00000169972.13	TRUE
ENSG00000127054.22	TRUE
ENSG00000240731.1	TRUE
ENSG00000224051.7	TRUE
ENSG00000169962.5	TRUE
ENSG00000107404.21	TRUE
ENSG00000162576.17	TRUE
ENSG00000175756.14	TRUE
ENSG00000221978.13	TRUE
ENSG00000224870.9	TRUE
ENSG00000242485.6	TRUE
ENSG00000272455.1	TRUE
ENSG00000235098.9	FALSE
ENSG00000205116.4	FALSE
ENSG00000225285.1	FALSE
ENSG00000179403.12	FALSE
ENSG00000215915.10	FALSE
ENSG00000160072.20	TRUE
ENSG00000290916.1	FALSE
ENSG00000197785.14	TRUE
ENSG00000205090.10	FALSE
ENSG00000160075.12	TRUE
ENSG00000215014.5	TRUE
ENSG00000228594.4	FALSE
ENSG00000286989.1	FALSE
ENSG00000272106.1	TRUE
ENSG00000197530.13	TRUE
ENSG00000189409.14	FALSE
ENSG00000248333.9	TRUE
ENSG00000272004.1	FALSE
ENSG00000189339.12	TRUE
ENSG00000269737.2	TRUE
ENSG00000215914.4	FALSE
ENSG00000008128.23	TRUE
ENSG00000268575.1	TRUE
ENSG00000227775.3	TRUE
ENSG00000290854.1	TRUE
ENSG00000008130.15	TRUE
ENSG00000078369.19	TRUE
ENSG00000231050.3	FALSE
ENSG00000169885.10	FALSE
ENSG00000178821.13	FALSE
ENSG00000142609.20	FALSE
ENSG00000233542.2	FALSE
ENSG00000187730.9	FALSE
ENSG00000067606.17	TRUE
ENSG00000271806.1	FALSE
ENSG00000182873.5	TRUE
ENSG00000162585.17	TRUE
ENSG00000157933.11	TRUE
ENSG00000287356.1	FALSE
ENSG00000116151.14	TRUE
ENSG00000272161.1	FALSE
ENSG00000269896.2	TRUE
ENSG00000272420.1	FALSE
ENSG00000157916.20	TRUE
ENSG00000157911.11	TRUE
ENSG00000149527.18	TRUE
ENSG00000224387.1	FALSE
ENSG00000229393.1	FALSE
ENSG00000157881.16	TRUE
ENSG00000197921.6	FALSE
ENSG00000272449.3	TRUE
ENSG00000238164.6	TRUE
ENSG00000157873.18	TRUE
ENSG00000225931.3	FALSE
ENSG00000228037.1	TRUE
ENSG00000289610.2	FALSE
ENSG00000157870.17	TRUE
ENSG00000142606.16	FALSE
ENSG00000237058.1	FALSE
ENSG00000215912.13	TRUE
ENSG00000177133.14	FALSE
ENSG00000142611.17	FALSE
ENSG00000272235.1	FALSE
ENSG00000286518.1	FALSE
ENSG00000130762.15	FALSE
ENSG00000272088.1	FALSE
ENSG00000162591.17	TRUE
ENSG00000238260.3	FALSE
ENSG00000158109.15	TRUE
ENSG00000116213.16	TRUE
ENSG00000078900.15	TRUE
ENSG00000227589.1	FALSE
ENSG00000235131.1	FALSE
ENSG00000227372.12	TRUE
ENSG00000162592.10	FALSE
ENSG00000235169.11	TRUE
ENSG00000130764.10	TRUE
ENSG00000266075.2	FALSE
ENSG00000272153.1	TRUE
ENSG00000116198.14	TRUE
