cohort	contrast	strategy	n_lncRNA_DE	n_lncRNA_ORIG	delta_vs_ORIG
14-sample	gBMF_vs_Ctrl	ORIG	29	29	0
14-sample	uBMF_vs_Ctrl	ORIG	13	13	0
14-sample	gBMF_vs_Ctrl	R1	939	29	910
14-sample	uBMF_vs_Ctrl	R1	797	13	784
14-sample	gBMF_vs_Ctrl	R2	921	29	892
14-sample	uBMF_vs_Ctrl	R2	787	13	774
14-sample	gBMF_vs_Ctrl	R3	1191	29	1162
14-sample	uBMF_vs_Ctrl	R3	960	13	947
17-sample	gBMF_vs_Ctrl	ORIG	26	26	0
17-sample	uBMF_vs_Ctrl	ORIG	12	12	0
17-sample	gBMF_vs_Ctrl	R1	973	26	947
17-sample	uBMF_vs_Ctrl	R1	851	12	839
17-sample	gBMF_vs_Ctrl	R2	960	26	934
17-sample	uBMF_vs_Ctrl	R2	847	12	835
17-sample	gBMF_vs_Ctrl	R3	1200	26	1174
17-sample	uBMF_vs_Ctrl	R3	1050	12	1038
