cohort	strategy	contrast	genes_kept	n_lncRNA_DE	n_up	n_down
14-sample	ORIG	gBMF_vs_Ctrl	36683	1165	1109	56
14-sample	ORIG	uBMF_vs_Ctrl	36683	1015	1007	8
14-sample	ORIG	gBMF_vs_uBMF	36683	4	0	4
14-sample	STRICT	gBMF_vs_Ctrl	8325	29	24	5
14-sample	STRICT	uBMF_vs_Ctrl	8325	13	12	1
14-sample	STRICT	gBMF_vs_uBMF	8325	0	0	0
14-sample	R1	gBMF_vs_Ctrl	19246	939	885	54
14-sample	R1	uBMF_vs_Ctrl	19246	797	791	6
14-sample	R1	gBMF_vs_uBMF	19246	3	0	3
14-sample	R2	gBMF_vs_Ctrl	18637	921	867	54
14-sample	R2	uBMF_vs_Ctrl	18637	787	781	6
14-sample	R2	gBMF_vs_uBMF	18637	3	0	3
14-sample	R3	gBMF_vs_Ctrl	62652	1191	1134	57
14-sample	R3	uBMF_vs_Ctrl	62652	960	953	7
14-sample	R3	gBMF_vs_uBMF	62652	4	0	4
