cohort	strategy	contrast	gene	recovered	log2FC	padj
14-sample	ORIG	gBMF_vs_Ctrl	HCG11	TRUE	9.484366179102437	1.0749347609784382e-4
14-sample	ORIG	gBMF_vs_Ctrl	HCP5	TRUE	9.070384731219452	7.088981118228524e-7
14-sample	ORIG	gBMF_vs_Ctrl	SNHG32	TRUE	9.65352893374371	8.914603416306888e-5
14-sample	ORIG	gBMF_vs_Ctrl	PSMB8-AS1	TRUE	11.425124918385432	9.758311490550816e-6
14-sample	ORIG	gBMF_vs_Ctrl	FAM30A	TRUE	5.463914227000436	0.0011737904563460413
14-sample	ORIG	gBMF_vs_Ctrl	MIR22HG	TRUE	9.912570134844255	4.152603707757973e-4
14-sample	ORIG	gBMF_vs_Ctrl	ATP1A1-AS1	TRUE	2.3353463887864825	0.024726432101670658
14-sample	ORIG	gBMF_vs_Ctrl	USP3-AS1	TRUE	2.5968010301421707	0.0018169655694082224
14-sample	ORIG	gBMF_vs_Ctrl	TAGAP-AS1	TRUE	4.362839076876739	2.642531763654428e-4
14-sample	ORIG	gBMF_vs_Ctrl	LINC01036	TRUE	3.2497187872984554	0.0011171635552702165
14-sample	ORIG	gBMF_vs_Ctrl	MALAT1	TRUE	-6.5620075190489935	1.2353801525247466e-5
14-sample	ORIG	uBMF_vs_Ctrl	HCG11	TRUE	8.788961259001365	1.7652841256909856e-4
14-sample	ORIG	uBMF_vs_Ctrl	HCP5	TRUE	8.725604228025468	2.3601323190387794e-7
14-sample	ORIG	uBMF_vs_Ctrl	SNHG32	TRUE	9.254541895704186	7.320663704284366e-5
14-sample	ORIG	uBMF_vs_Ctrl	PSMB8-AS1	TRUE	10.618198350037547	1.4440780014362083e-5
14-sample	ORIG	uBMF_vs_Ctrl	FAM30A	TRUE	5.066940638132804	0.0010380454572519067
14-sample	ORIG	uBMF_vs_Ctrl	MIR22HG	TRUE	10.107598810218098	9.281748553306849e-5
14-sample	ORIG	uBMF_vs_Ctrl	ATP1A1-AS1	TRUE	2.180651640313413	0.024640376487545013
14-sample	ORIG	uBMF_vs_Ctrl	USP3-AS1	TRUE	2.2414101978224195	0.003876129024457313
14-sample	ORIG	uBMF_vs_Ctrl	TAGAP-AS1	TRUE	3.49824749056243	0.0017677940523700894
14-sample	ORIG	uBMF_vs_Ctrl	LINC01036	TRUE	2.777428290714438	0.0027670464468639465
14-sample	ORIG	uBMF_vs_Ctrl	MALAT1	TRUE	-4.10690398190138	0.004427397299650051
14-sample	ORIG	gBMF_vs_uBMF	HCG11	FALSE	NA	NA
14-sample	ORIG	gBMF_vs_uBMF	HCP5	FALSE	NA	NA
14-sample	ORIG	gBMF_vs_uBMF	SNHG32	FALSE	NA	NA
14-sample	ORIG	gBMF_vs_uBMF	PSMB8-AS1	FALSE	NA	NA
14-sample	ORIG	gBMF_vs_uBMF	FAM30A	FALSE	NA	NA
14-sample	ORIG	gBMF_vs_uBMF	MIR22HG	FALSE	NA	NA
14-sample	ORIG	gBMF_vs_uBMF	ATP1A1-AS1	FALSE	NA	NA
14-sample	ORIG	gBMF_vs_uBMF	USP3-AS1	FALSE	NA	NA
14-sample	ORIG	gBMF_vs_uBMF	TAGAP-AS1	FALSE	NA	NA
14-sample	ORIG	gBMF_vs_uBMF	LINC01036	FALSE	NA	NA
14-sample	ORIG	gBMF_vs_uBMF	MALAT1	FALSE	NA	NA
14-sample	STRICT	gBMF_vs_Ctrl	HCG11	FALSE	NA	NA
14-sample	STRICT	gBMF_vs_Ctrl	HCP5	FALSE	NA	NA
14-sample	STRICT	gBMF_vs_Ctrl	SNHG32	FALSE	NA	NA
14-sample	STRICT	gBMF_vs_Ctrl	PSMB8-AS1	FALSE	NA	NA
14-sample	STRICT	gBMF_vs_Ctrl	FAM30A	FALSE	NA	NA
14-sample	STRICT	gBMF_vs_Ctrl	MIR22HG	FALSE	NA	NA
14-sample	STRICT	gBMF_vs_Ctrl	ATP1A1-AS1	TRUE	2.37879634944962	0.016332554917413866
14-sample	STRICT	gBMF_vs_Ctrl	USP3-AS1	TRUE	2.6428541465754067	0.001013044575101143
14-sample	STRICT	gBMF_vs_Ctrl	TAGAP-AS1	TRUE	4.411051438152214	1.951566840540488e-4
14-sample	STRICT	gBMF_vs_Ctrl	LINC01036	TRUE	3.2982028997825066	5.460107723215051e-4
