gene	14-sample|ORIG|gBMF_vs_Ctrl	14-sample|ORIG|uBMF_vs_Ctrl	14-sample|ORIG|gBMF_vs_uBMF	14-sample|STRICT|gBMF_vs_Ctrl	14-sample|STRICT|uBMF_vs_Ctrl	14-sample|STRICT|gBMF_vs_uBMF	14-sample|R1|gBMF_vs_Ctrl	14-sample|R1|uBMF_vs_Ctrl	14-sample|R1|gBMF_vs_uBMF	14-sample|R2|gBMF_vs_Ctrl	14-sample|R2|uBMF_vs_Ctrl	14-sample|R2|gBMF_vs_uBMF	14-sample|R3|gBMF_vs_Ctrl	14-sample|R3|uBMF_vs_Ctrl	14-sample|R3|gBMF_vs_uBMF	17-sample|ORIG|gBMF_vs_Ctrl	17-sample|ORIG|uBMF_vs_Ctrl	17-sample|ORIG|gBMF_vs_uBMF	17-sample|STRICT|gBMF_vs_Ctrl	17-sample|STRICT|uBMF_vs_Ctrl	17-sample|STRICT|gBMF_vs_uBMF	17-sample|R1|gBMF_vs_Ctrl	17-sample|R1|uBMF_vs_Ctrl	17-sample|R1|gBMF_vs_uBMF	17-sample|R2|gBMF_vs_Ctrl	17-sample|R2|uBMF_vs_Ctrl	17-sample|R2|gBMF_vs_uBMF	17-sample|R3|gBMF_vs_Ctrl	17-sample|R3|uBMF_vs_Ctrl	17-sample|R3|gBMF_vs_uBMF
HCG11	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
HCP5	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
SNHG32	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
PSMB8-AS1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
FAM30A	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
MIR22HG	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
ATP1A1-AS1	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
USP3-AS1	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
TAGAP-AS1	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
LINC01036	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
MALAT1	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
