cohort	contrast	gene	pass_ORIG	pass_R1	pass_R2	pass_R3	n_strategies
14-sample	gBMF_vs_Ctrl	ATP1A1-AS1	TRUE	TRUE	TRUE	TRUE	4
14-sample	gBMF_vs_Ctrl	CCR5AS	TRUE	TRUE	TRUE	TRUE	4
14-sample	gBMF_vs_Ctrl	ENSG00000230615	TRUE	TRUE	TRUE	TRUE	4
14-sample	gBMF_vs_Ctrl	ENSG00000262265	TRUE	TRUE	TRUE	TRUE	4
14-sample	gBMF_vs_Ctrl	ENSG00000263826	TRUE	TRUE	TRUE	TRUE	4
14-sample	gBMF_vs_Ctrl	ENSG00000285557	TRUE	TRUE	TRUE	TRUE	4
14-sample	gBMF_vs_Ctrl	ENSG00000286342	TRUE	TRUE	TRUE	TRUE	4
14-sample	gBMF_vs_Ctrl	ENSG00000287632	TRUE	TRUE	TRUE	TRUE	4
14-sample	gBMF_vs_Ctrl	ENSG00000288771	TRUE	TRUE	TRUE	TRUE	4
14-sample	gBMF_vs_Ctrl	ENSG00000291107	TRUE	TRUE	TRUE	TRUE	4
14-sample	gBMF_vs_Ctrl	ENSG00000291143	TRUE	TRUE	TRUE	TRUE	4
14-sample	gBMF_vs_Ctrl	KCNQ1OT1	TRUE	TRUE	TRUE	TRUE	4
14-sample	gBMF_vs_Ctrl	LINC01036	TRUE	TRUE	TRUE	TRUE	4
14-sample	gBMF_vs_Ctrl	LINC02446	TRUE	TRUE	TRUE	TRUE	4
14-sample	gBMF_vs_Ctrl	MALAT1	TRUE	TRUE	TRUE	TRUE	4
14-sample	gBMF_vs_Ctrl	MBNL1-AS1	TRUE	TRUE	TRUE	TRUE	4
14-sample	gBMF_vs_Ctrl	PLCG1-AS1	TRUE	TRUE	TRUE	TRUE	4
14-sample	gBMF_vs_Ctrl	PPM1F-AS1	TRUE	TRUE	TRUE	TRUE	4
14-sample	gBMF_vs_Ctrl	PRKCQ-AS1	TRUE	TRUE	TRUE	TRUE	4
14-sample	gBMF_vs_Ctrl	RTCA-AS1	TRUE	TRUE	TRUE	TRUE	4
14-sample	gBMF_vs_Ctrl	SNHG16	TRUE	TRUE	TRUE	TRUE	4
14-sample	gBMF_vs_Ctrl	SNHG17	TRUE	TRUE	TRUE	TRUE	4
14-sample	gBMF_vs_Ctrl	SNHG6	TRUE	TRUE	TRUE	TRUE	4
14-sample	gBMF_vs_Ctrl	TAGAP-AS1	TRUE	TRUE	TRUE	TRUE	4
14-sample	gBMF_vs_Ctrl	USP3-AS1	TRUE	TRUE	TRUE	TRUE	4
14-sample	uBMF_vs_Ctrl	ATP1A1-AS1	TRUE	TRUE	TRUE	TRUE	4
14-sample	uBMF_vs_Ctrl	ENSG00000263826	TRUE	TRUE	TRUE	TRUE	4
