gene	cohort_LFC	cohort_padj
CD3D	2.3540253587747486	0.023622118683745794
CD3E	0.29792869725134047	0.9170459544828921
CD3G	1.6460797472779347	0.16806253594184897
TRAC	1.2996856290010734	0.25444601262298483
TRBC1	4.078946521924081	9.651521665050088e-5
TRBC2	5.649121351220386	5.9672180637100146e-6
CD19	-1.1261141746370045	0.5836528984407022
MS4A1	0.4447976867763244	0.8159920356145285
CD79A	-0.6632684274542978	0.795057150663801
CD79B	-0.21940244788046198	0.9360121222882395
NKG7	0.9857772308747355	0.6510135648934406
GNLY	2.10389808370718	0.2665857534057024
NCAM1	1.219273147770935	0.49216738291436957
KLRD1	0.5585974376597065	0.7939255019449879
ELANE	4.373223125889139	0.1501761410945781
MPO	-0.7326534891815765	0.8073188518557429
PRTN3	1.5209739767452963	0.763111199894147
CSF3R	-0.6138442635591616	0.5250455128556646
FCGR3B	-3.3745254617279956	0.04144435146734846
CD14	0.5496275106181361	0.6837201035179428
CD68	-5.342440257639253	0.2061978714522185
LYZ	2.617231455543316	0.15991248998251248
FCN1	1.0613799360629317	0.4839510553684591
S100A8	2.0177413569829015	0.40604054845059084
S100A9	1.758940861229705	0.21023756830801468
HBB	4.847837490114208	1.3544747235827863e-5
HBA1	0.3982348625263912	0.8962878806760403
HBA2	2.779821019538482	0.09834620268455348
GYPA	-2.4206024289807027	0.015507780226028915
ALAS2	-5.089974608413105	1.7432324906931675e-6
SLC4A1	-4.111888796360241	1.6054873527623003e-4
ITGA2B	-2.9019215380532772	0.02819538230335531
GP1BA	-3.938648480588815	0.13661328496515293
PF4	-1.3929945464132907	0.6694907764888486
ITGB3	-2.512039750834095	0.06323162001098268
CD34	-0.6325287494995508	0.8264149409870636
KIT	0.04845930281881288	0.9863344651886151
HOXA9	-1.0101742192526624	0.7933776048169724
MEIS1	-0.41156996653817607	0.8545551796961034
MPL	-3.5893401908254665	0.098539918623834
