contrast	padj_thr	lfc_thr	biotype	ms_n	our_n	ratio	delta
G-AA vs Ctrl	0.05	1	protein_coding	2078	1425	0.686	-653
U-AA vs Ctrl	0.05	1	protein_coding	1315	906	0.689	-409
G-AA vs U-AA	0.05	1	protein_coding	4	4	1	0
G-AA vs Ctrl	0.01	1	protein_coding	1079	768	0.712	-311
U-AA vs Ctrl	0.01	1	protein_coding	887	664	0.749	-223
G-AA vs U-AA	0.01	1	protein_coding	2	1	0.5	-1
G-AA vs Ctrl	0.001	1	protein_coding	612	519	0.848	-93
U-AA vs Ctrl	0.001	1	protein_coding	562	517	0.92	-45
G-AA vs U-AA	0.001	1	protein_coding	2	0	0	-2
G-AA vs Ctrl	0.05	1.5	protein_coding	1943	1353	0.696	-590
U-AA vs Ctrl	0.05	1.5	protein_coding	1265	881	0.696	-384
G-AA vs U-AA	0.05	1.5	protein_coding	4	4	1	0
G-AA vs Ctrl	0.01	1.5	protein_coding	1074	766	0.713	-308
U-AA vs Ctrl	0.01	1.5	protein_coding	883	661	0.749	-222
G-AA vs U-AA	0.01	1.5	protein_coding	2	1	0.5	-1
G-AA vs Ctrl	0.001	1.5	protein_coding	612	519	0.848	-93
U-AA vs Ctrl	0.001	1.5	protein_coding	562	517	0.92	-45
G-AA vs U-AA	0.001	1.5	protein_coding	2	0	0	-2
G-AA vs Ctrl	0.05	2	protein_coding	1702	1207	0.709	-495
U-AA vs Ctrl	0.05	2	protein_coding	1192	835	0.701	-357
G-AA vs U-AA	0.05	2	protein_coding	4	4	1	0
G-AA vs Ctrl	0.01	2	protein_coding	1054	754	0.715	-300
U-AA vs Ctrl	0.01	2	protein_coding	871	654	0.751	-217
G-AA vs U-AA	0.01	2	protein_coding	2	1	0.5	-1
G-AA vs Ctrl	0.001	2	protein_coding	612	519	0.848	-93
U-AA vs Ctrl	0.001	2	protein_coding	562	517	0.92	-45
G-AA vs U-AA	0.001	2	protein_coding	2	0	0	-2
G-AA vs Ctrl	0.05	1	lncRNA	1167	262	0.225	-905
U-AA vs Ctrl	0.05	1	lncRNA	992	203	0.205	-789
G-AA vs U-AA	0.05	1	lncRNA	4	3	0.75	-1
G-AA vs Ctrl	0.01	1	lncRNA	584	137	0.235	-447
U-AA vs Ctrl	0.01	1	lncRNA	536	120	0.224	-416
G-AA vs U-AA	0.01	1	lncRNA	4	2	0.5	-2
G-AA vs Ctrl	0.001	1	lncRNA	229	65	0.284	-164
U-AA vs Ctrl	0.001	1	lncRNA	203	54	0.266	-149
G-AA vs U-AA	0.001	1	lncRNA	2	0	0	-2
G-AA vs Ctrl	0.05	1.5	lncRNA	1160	259	0.223	-901
U-AA vs Ctrl	0.05	1.5	lncRNA	986	202	0.205	-784
G-AA vs U-AA	0.05	1.5	lncRNA	4	3	0.75	-1
G-AA vs Ctrl	0.01	1.5	lncRNA	584	137	0.235	-447
U-AA vs Ctrl	0.01	1.5	lncRNA	536	120	0.224	-416
G-AA vs U-AA	0.01	1.5	lncRNA	4	2	0.5	-2
G-AA vs Ctrl	0.001	1.5	lncRNA	229	65	0.284	-164
U-AA vs Ctrl	0.001	1.5	lncRNA	203	54	0.266	-149
G-AA vs U-AA	0.001	1.5	lncRNA	2	0	0	-2
G-AA vs Ctrl	0.05	2	lncRNA	1143	255	0.223	-888
U-AA vs Ctrl	0.05	2	lncRNA	978	196	0.2	-782
G-AA vs U-AA	0.05	2	lncRNA	4	3	0.75	-1
G-AA vs Ctrl	0.01	2	lncRNA	583	136	0.233	-447
U-AA vs Ctrl	0.01	2	lncRNA	535	120	0.224	-415
G-AA vs U-AA	0.01	2	lncRNA	4	2	0.5	-2
G-AA vs Ctrl	0.001	2	lncRNA	229	65	0.284	-164
U-AA vs Ctrl	0.001	2	lncRNA	203	54	0.266	-149
G-AA vs U-AA	0.001	2	lncRNA	2	0	0	-2
G-AA vs Ctrl	0.05	1	all	4158	2014	0.484	-2144
U-AA vs Ctrl	0.05	1	all	2968	1277	0.43	-1691
G-AA vs U-AA	0.05	1	all	11	13	1.182	2
G-AA vs Ctrl	0.01	1	all	2061	1062	0.515	-999
U-AA vs Ctrl	0.01	1	all	1733	874	0.504	-859
G-AA vs U-AA	0.01	1	all	8	7	0.875	-1
G-AA vs Ctrl	0.001	1	all	970	658	0.678	-312
U-AA vs Ctrl	0.001	1	all	877	618	0.705	-259
G-AA vs U-AA	0.001	1	all	6	2	0.333	-4
G-AA vs Ctrl	0.05	1.5	all	4016	1939	0.483	-2077
U-AA vs Ctrl	0.05	1.5	all	2912	1251	0.43	-1661
G-AA vs U-AA	0.05	1.5	all	11	13	1.182	2
G-AA vs Ctrl	0.01	1.5	all	2056	1060	0.516	-996
U-AA vs Ctrl	0.01	1.5	all	1729	871	0.504	-858
G-AA vs U-AA	0.01	1.5	all	8	7	0.875	-1
G-AA vs Ctrl	0.001	1.5	all	970	658	0.678	-312
U-AA vs Ctrl	0.001	1.5	all	877	618	0.705	-259
G-AA vs U-AA	0.001	1.5	all	6	2	0.333	-4
G-AA vs Ctrl	0.05	2	all	3751	1787	0.476	-1964
U-AA vs Ctrl	0.05	2	all	2827	1197	0.423	-1630
G-AA vs U-AA	0.05	2	all	11	13	1.182	2
G-AA vs Ctrl	0.01	2	all	2034	1047	0.515	-987
U-AA vs Ctrl	0.01	2	all	1713	863	0.504	-850
G-AA vs U-AA	0.01	2	all	8	7	0.875	-1
G-AA vs Ctrl	0.001	2	all	970	658	0.678	-312
U-AA vs Ctrl	0.001	2	all	877	618	0.705	-259
G-AA vs U-AA	0.001	2	all	6	2	0.333	-4
