gene_group	gene_symbol	gene_id	gene_type	contrast	A_baseMean	A_log2FC	A_padj	A_sig	C_baseMean	C_log2FC	C_padj	C_sig
G-AA vs U-AA (4 mRNAs)	SFT2D3	ENSG00000173349.6	protein_coding	G-AA_vs_Control	263.3	0.7	0.462	FALSE	320.2	0.7	0.471	FALSE
G-AA vs U-AA (4 mRNAs)	SFT2D3	ENSG00000173349.6	protein_coding	U-AA_vs_Control	263.3	0.71	0.54	FALSE	320.2	0.71	0.547	FALSE
G-AA vs U-AA (4 mRNAs)	SFT2D3	ENSG00000173349.6	protein_coding	G-AA_vs_U-AA	263.3	-0.01	0.999	FALSE	320.2	-0.01	1	FALSE
G-AA vs U-AA (4 mRNAs)	OR52K1	ENSG00000196778.4	protein_coding	G-AA_vs_Control	21.6	1.33	0.464	FALSE	20.3	1.32	0.562	FALSE
G-AA vs U-AA (4 mRNAs)	OR52K1	ENSG00000196778.4	protein_coding	U-AA_vs_Control	21.6	-1.63	0.424	FALSE	20.3	-1.64	0.531	FALSE
G-AA vs U-AA (4 mRNAs)	OR52K1	ENSG00000196778.4	protein_coding	G-AA_vs_U-AA	21.6	2.95	0.0534	FALSE	20.3	2.96	0.306	FALSE
G-AA vs U-AA (4 mRNAs)	LRRC24	ENSG00000254402.7	protein_coding	G-AA_vs_Control	32.2	-1.7	0.251	FALSE	28.2	-1.7	0.279	FALSE
G-AA vs U-AA (4 mRNAs)	LRRC24	ENSG00000254402.7	protein_coding	U-AA_vs_Control	32.2	0.03	0.992	FALSE	28.2	0.04	0.993	FALSE
G-AA vs U-AA (4 mRNAs)	LRRC24	ENSG00000254402.7	protein_coding	G-AA_vs_U-AA	32.2	-1.73	0.4	FALSE	28.2	-1.73	0.674	FALSE
G-AA vs U-AA (4 mRNAs)	TEN1-CDK3	ENSG00000261408.7	protein_coding	G-AA_vs_Control	12.7	-4.62	0.00492	TRUE	11.6	-4.61	0.00937	TRUE
G-AA vs U-AA (4 mRNAs)	TEN1-CDK3	ENSG00000261408.7	protein_coding	U-AA_vs_Control	12.7	-0.13	0.971	FALSE	11.6	-0.13	0.977	FALSE
G-AA vs U-AA (4 mRNAs)	TEN1-CDK3	ENSG00000261408.7	protein_coding	G-AA_vs_U-AA	12.7	-4.48	0.048	TRUE	11.6	-4.48	0.0728	FALSE
Key 11 lncRNAs (avg CPM>=10, CPM>=1 all)	ATP1A1-AS1	ENSG00000203865.13	lncRNA	G-AA_vs_Control	107.3	0.22	0.832	FALSE	112.8	0.22	0.831	FALSE
